# Super-LOTIS observations are in BVRI for each epoch.  
#  A '99' for the SL column means there were observations, but MWV doesn't know how many.
#Name                    semester    RA            Dec      z       approxTmax n_J n_H n_K Host_J  Host_H  Host_K Super-LOTIS comments
SN2012go                 2012B  22:41:51.848  +34:58:07.39  0.03     20121121   2   2   0  ...       ...       NA        ...  "CBET 3305; Updated position"
SN2012cg                 2013A  12:27:12.826  +09:25:12.93  0.00145  20120401   4   5   0  2014A     2014A     NA        ...  "CBET 3111; Updated position"
SN2013cs                 2013A  13:15:14.839  -17:57:55.24  0.00924  20130524   4   4   4  ...       ...       ...       ...  "CBET 3533 LSQ13aiz ATEL 5067; Updated position"
SN2013da                 2013A  13:45:36.338  -07:19:33.69  0.0216   20130606   2   2   2  2014A     2014A     2014A     ...  "Super-LOTIS?; Updated position"
SN2013bs                 2013A  17:17:22.03   +41:04:00.2   0.0276   20130421   6   7   0  ...       ...       NA        ...  "ATel 4993, CBET 3494 PSNJ17172203+4104002"
PTF13asv                 2013A  16:22:43.19   +18:57:35.0   0.035    20130511   4   4   0  2014A     2014A     NA        ...  "ATEL 5061"
SN2013bo                 2013A  13:17:29.19   +42:44:29.6   0.036    20130411   4   4   0  ...       ...       NA        ...  "ATel 4989 CSS130415:131729+424430, CBET 3490; Can't tell SN vs. host.  Faint blog.  No ref template."
SN2013bt                 2013A  14:21:15.185  +61:34:15.42  0.0364   20130426   5   5   0  ...       ...       NA        ...  "4993, PSNJ14211513+6134159 CBET 3497; WCS jumps around by 0.5arcsec; Updated position to at least be more right on average."
SNhunt175                2013A  15:19:24.978  +20:54:01.61  0.0409   20130318   1   3   0  2014A     2014A     NA        ...  "ATel 4896; Updated position"
SN2013ck                 2013A  15:24:29.105  +48:32:54.53  0.049    20130512   4   4   0  2014A     2014A     NA        ...  "CBET 3523; Updated position; 20130519_H has streak near SN"
CSS130218:092354+385837  2013A  09:23:54.52   +38:58:36.8   0.05     20130310   0   3   0  NA        ...       NA        ...  "ATel 4908"
PTF13ayw                 2013A  15:39:33.479  +32:05:38.33  0.0538   20130518   4   4   0  2014A     2014A     NA        ...  "ATEL 5061; Updated position"
SN2013cb                 2013A  11:35:01.736  +16:07:14.91  0.0541   20130512   2   3   0  2014A     2014A     NA        ...  "CBET 3509; Updated position"
SN2013bq                 2013A  13:04:08.45   +43:54:07.7   0.06     20130424   3   4   0  2014A+16A 2014A+16A NA        ...  "ATel 4993, CBET 3492 CSS130415:130408+435408"
SN2013ar                 2013A  08:37:45.02   +49:28:32.2   0.06     20130323   3   3   0  ...       ...       NA        ...  "CBET 3446; unreliable WCS solutions"
SN2013be                 2013A  12:36:27.638  +11:45:27.96  0.06585  20130416   3   3   0  2014A     2014A     NA        ...  "CBET 3470, iPTF13aig ATEL 5019"
CSS130317:082848+293031  2013A  08:28:47.784  +29:30:30.85  0.08     20130319   3   3   0  2014A     2014A     NA        ...  "ATel 4984; Can't locate SN"
iPTF13ebh                2013B  02:21:59.98   +33:16:13.7   0.01327  20131123   3   3   3  ...       ...       ...         4  "Atel 5580"
iPTF13dge                2013B  05:03:35.091  +01:34:17.03  0.01584  20130920   8   8   6  ...       ...       ...         3  "ATel 5379, 5366; Updated position"
SN2013fw                 2013B  21:13:44.763  +13:34:33.33  0.01695  20131107   4   4   4  2014B     2014B     2014B     99  "ATel 5509, PSNJ21134481+1334335, CBET 3681; Updated position"
SN2013fn                 2013B  21:00:23.673  -14:29:52.42  0.0270   20131007   3   3   2  ...       ...       ...        11  "CBET 3662; Updated position"
SNhunt206                2013B  01:58:42.759  +08:20:39.51  0.027    20130913   6   6   0  ...       2014B     NA        99  "ATEL 5392, Super-LOTIS?; Updated position"
iPTF13dkj                2013B  23:08:50.737  +20:04:08.59  0.03     20130920   5   5   0  ...       ...       NA         10  "ATel #5405; Updated position"
iPTF13dkx                2013B  01:20:53.115  +03:20:23.65  0.03     20130926   5   5   0  ...       ...       NA          2  "ATel #5405; Updated position"
PS1-13dkh                2013B  03:11:16.09   +15:42:58.3   0.03     20131007   4   4   0  ...       ...       NA        99  "ATel 5458"
SN2013fj                 2013B  22:15:28.480  +15:34:03.19  0.03357  20130910   3   3   0  2014B     2014B     NA        99  "CBET #3654, Super-LOTIS?; Updated position"
iPTF13dkl                2013B  23:44:57.999  +03:23:40.07  0.04     20130921   3   4   0  ...       ...       NA        99  "ATel #5405, Super-LOTIS?; Updated position"
LSQ13cmt                 2013B  01:02:41.95   -21:52:23.4   0.057    20131010   2   3   0  ...       ...       NA        ...  "ATEL 5443"
LSQ13crf                 2013B  03:10:50.263  +01:25:19.19  0.06     20131031   3   4   0  ...       ...       NA         10  "ATel 5510,; Updated position"
LSQ13cwp                 2013B  04:03:50.662  -02:39:18.57  0.067    20131110   4   4   0  ...       ...       NA          2  "ATel 5567; Updated position"
PTF13ddg                 2013B  00:47:50.83   +31:49:17.5   0.084    20130910   0   3   0  NA        ...       NA          2  "ATel #5386"
PTF13dad                 2013B  01:48:08.39   +37:33:29.1   0.086    20130912   3   3   0  ...       ...       NA          99  "ATel #5386, Super-LOTIS?; Updated position"
SN2014J                  2014A  09:55:42.14   +69:40:26.0   0.00068  20140205  10  10  10  ...       ...       ...        44  "CBET 3792"
SN2014aa                 2014A  11:45:03.58   +19:58:25.4   0.01698  20140316   9   9   9  2015A     2015A     2015A       2  "CBET 3823"
LSQ14ahm                 2014A  11:41:22.45   -12:23:57.5   0.05     20140319   4   4   0  2015A     2015A     2015A       2  "ATel 5961"
LSQ14xi                  2014A  12:30:41.17   -13:46:21.9   0.05     20140306   4   4   0  2015A     2015A     NA         25  "ATel 5934"
LSQ14age                 2014A  13:24:08.60   -13:26:25.9   0.06     20140312   3   4   0  ...       ...       NA        ...  "ATel 5968"
PS1-14ra                 2014A  14:41:28.44   +09:25:58.7   0.03     20140307   6   6   0  ...       ...       NA         27  "ATel 5957; disc. by PS1"
PSNJ15044009+1237540     2014A  15:04:40.09   +12:37:54.0   0.03     20140310   7   7   0  2015A     2015A     NA         22  "CBET 3830; SN 2014ac"
LSQ14aeg                 2014A  10:19:36.79   +19:33:20.3   0.06     20140310   4   4   0  ...       ...       NA        ...  "ATel 5970; CRTS"
PS1-14rx                 2014A  12:46:53.35   +14:47:50.1   0.06     20140316   3   3   0  2015A     2015A     NA        ...  "ATel 5970"
